2024-07-02 23:44:58,107 FIX Engine listening for connections
2024-07-02 23:44:59,230 Connected by ('127.0.0.1', 61426)
2024-07-02 23:44:59,230 Connected by ('127.0.0.1', 61427)
2024-07-02 23:45:04,233 Connected by ('127.0.0.1', 61441)
2024-07-02 23:45:04,233 Connected by ('127.0.0.1', 61442)
2024-07-02 23:45:10,253 Connected by ('127.0.0.1', 61459)
2024-07-02 23:45:10,254 Connected by ('127.0.0.1', 61460)
2024-07-02 23:45:16,266 Connected by ('127.0.0.1', 61477)
2024-07-02 23:45:16,266 Connected by ('127.0.0.1', 61478)
2024-07-02 23:45:22,286 Connected by ('127.0.0.1', 61495)
2024-07-02 23:45:22,287 Connected by ('127.0.0.1', 61496)
2024-07-02 23:45:28,316 Connected by ('127.0.0.1', 61513)
2024-07-02 23:45:28,317 Connected by ('127.0.0.1', 61514)
2024-07-02 23:45:34,337 Connected by ('127.0.0.1', 61531)
2024-07-02 23:45:34,338 Connected by ('127.0.0.1', 61532)
2024-07-02 23:45:40,363 Connected by ('127.0.0.1', 61549)
2024-07-02 23:45:40,365 Connected by ('127.0.0.1', 61551)
2024-07-02 23:45:46,226 Connected by ('127.0.0.1', 61567)
2024-07-02 23:45:46,231 Connected by ('127.0.0.1', 61570)
2024-07-02 23:45:52,247 Connected by ('127.0.0.1', 61584)
2024-07-02 23:45:52,248 Connected by ('127.0.0.1', 61585)
2024-07-02 23:45:58,259 Connected by ('127.0.0.1', 61602)
2024-07-02 23:45:58,259 Connected by ('127.0.0.1', 61603)
2024-07-02 23:46:04,256 Connected by ('127.0.0.1', 61620)
2024-07-02 23:46:04,257 Connected by ('127.0.0.1', 61621)
2024-07-02 23:46:10,268 Connected by ('127.0.0.1', 61638)
2024-07-02 23:46:10,269 Connected by ('127.0.0.1', 61639)
2024-07-02 23:46:15,316 Connected by ('127.0.0.1', 61654)
2024-07-02 23:46:15,316 Connected by ('127.0.0.1', 61655)
2024-07-02 23:46:21,327 Connected by ('127.0.0.1', 61672)
2024-07-02 23:46:21,327 Connected by ('127.0.0.1', 61673)
2024-07-02 23:46:27,360 Connected by ('127.0.0.1', 61690)
