2024-06-11 18:53:02,555 Market Simulator listening for connections
2024-06-11 18:53:04,534 Connected by ('127.0.0.1', 55657)
2024-06-11 18:53:04,535 Connected by ('127.0.0.1', 55658)
2024-06-11 18:53:04,536 Connected by ('127.0.0.1', 55659)
2024-06-11 18:53:09,555 Connected by ('127.0.0.1', 55665)
2024-06-11 18:53:09,556 Connected by ('127.0.0.1', 55666)
2024-06-11 18:53:09,557 Connected by ('127.0.0.1', 55667)
2024-06-11 18:53:14,573 Connected by ('127.0.0.1', 55671)
2024-06-11 18:53:14,574 Connected by ('127.0.0.1', 55672)
2024-06-11 18:53:14,575 Connected by ('127.0.0.1', 55673)
2024-06-11 18:53:19,584 Connected by ('127.0.0.1', 55679)
2024-06-11 18:53:19,585 Connected by ('127.0.0.1', 55680)
2024-06-11 18:53:19,586 Connected by ('127.0.0.1', 55681)
2024-06-11 18:53:24,602 Connected by ('127.0.0.1', 55687)
2024-06-11 18:53:24,603 Connected by ('127.0.0.1', 55688)
2024-06-11 18:53:24,604 Connected by ('127.0.0.1', 55689)
2024-06-11 18:53:29,621 Connected by ('127.0.0.1', 55693)
2024-06-11 18:53:29,621 Connected by ('127.0.0.1', 55694)
2024-06-11 18:53:29,622 Connected by ('127.0.0.1', 55695)
2024-06-11 18:53:34,637 Connected by ('127.0.0.1', 55699)
2024-06-11 18:53:34,637 Connected by ('127.0.0.1', 55700)
2024-06-11 18:53:34,638 Connected by ('127.0.0.1', 55701)
2024-06-11 18:53:39,649 Connected by ('127.0.0.1', 55704)
2024-06-11 18:53:39,650 Connected by ('127.0.0.1', 55705)
2024-06-11 18:53:39,655 Connected by ('127.0.0.1', 55707)
2024-06-11 18:53:44,652 Connected by ('127.0.0.1', 55711)
2024-06-11 18:53:44,653 Connected by ('127.0.0.1', 55712)
2024-06-11 18:53:44,654 Connected by ('127.0.0.1', 55713)
2024-06-11 18:53:49,663 Connected by ('127.0.0.1', 55717)
2024-06-11 18:53:49,665 Connected by ('127.0.0.1', 55718)
2024-06-11 18:53:49,665 Connected by ('127.0.0.1', 55719)
2024-06-11 18:53:54,669 Connected by ('127.0.0.1', 55724)
2024-06-11 18:53:54,670 Connected by ('127.0.0.1', 55725)
2024-06-11 18:53:54,670 Connected by ('127.0.0.1', 55726)
2024-06-11 18:53:59,685 Connected by ('127.0.0.1', 55732)
2024-06-11 18:53:59,685 Connected by ('127.0.0.1', 55733)
2024-06-11 18:53:59,686 Connected by ('127.0.0.1', 55734)
2024-06-11 18:54:04,692 Connected by ('127.0.0.1', 55744)
2024-06-11 18:54:04,692 Connected by ('127.0.0.1', 55745)
2024-06-11 18:54:04,693 Connected by ('127.0.0.1', 55746)
2024-06-11 18:54:09,708 Connected by ('127.0.0.1', 55752)
2024-06-11 18:54:09,708 Connected by ('127.0.0.1', 55753)
2024-06-11 18:54:09,709 Connected by ('127.0.0.1', 55754)
2024-06-11 18:54:14,722 Connected by ('127.0.0.1', 55761)
2024-06-11 18:54:14,723 Connected by ('127.0.0.1', 55762)
2024-06-11 18:54:14,724 Connected by ('127.0.0.1', 55763)
2024-06-11 18:54:19,743 Connected by ('127.0.0.1', 55773)
2024-06-11 18:54:19,744 Connected by ('127.0.0.1', 55774)
2024-06-11 18:54:19,744 Connected by ('127.0.0.1', 55775)
2024-06-11 18:54:24,750 Connected by ('127.0.0.1', 55782)
2024-06-11 18:54:24,751 Connected by ('127.0.0.1', 55783)
2024-06-11 18:54:24,751 Connected by ('127.0.0.1', 55784)
2024-06-11 18:54:29,769 Connected by ('127.0.0.1', 55788)
2024-06-11 18:54:29,770 Connected by ('127.0.0.1', 55789)
2024-06-11 18:54:29,770 Connected by ('127.0.0.1', 55790)
2024-06-11 18:54:34,778 Connected by ('127.0.0.1', 55794)
2024-06-11 18:54:34,779 Connected by ('127.0.0.1', 55795)
2024-06-11 18:54:34,780 Connected by ('127.0.0.1', 55796)
2024-06-11 18:54:39,793 Connected by ('127.0.0.1', 55800)
2024-06-11 18:54:39,793 Connected by ('127.0.0.1', 55801)
2024-06-11 18:54:39,794 Connected by ('127.0.0.1', 55802)
2024-06-11 18:54:44,805 Connected by ('127.0.0.1', 55809)
2024-06-11 18:54:44,806 Connected by ('127.0.0.1', 55810)
2024-06-11 18:54:44,807 Connected by ('127.0.0.1', 55811)
2024-06-11 18:54:49,823 Connected by ('127.0.0.1', 55815)
