2024-06-10 23:16:04,523 Order Router listening for connections
2024-06-10 23:16:07,697 Connected by ('127.0.0.1', 52182)
2024-06-10 23:16:12,702 Connected by ('127.0.0.1', 52189)
2024-06-10 23:16:17,705 Connected by ('127.0.0.1', 52195)
2024-06-10 23:16:22,708 Connected by ('127.0.0.1', 52202)
2024-06-10 23:16:27,726 Connected by ('127.0.0.1', 52208)
2024-06-10 23:16:32,736 Connected by ('127.0.0.1', 52214)
2024-06-10 23:16:37,748 Connected by ('127.0.0.1', 52220)
2024-06-10 23:16:42,765 Connected by ('127.0.0.1', 52226)
2024-06-10 23:16:47,781 Connected by ('127.0.0.1', 52233)
2024-06-10 23:16:52,784 Connected by ('127.0.0.1', 52239)
2024-06-10 23:16:57,798 Connected by ('127.0.0.1', 52245)
2024-06-10 23:17:02,807 Connected by ('127.0.0.1', 52251)
2024-06-10 23:17:07,823 Connected by ('127.0.0.1', 52257)
2024-06-10 23:17:12,829 Connected by ('127.0.0.1', 52263)
2024-06-10 23:17:17,840 Connected by ('127.0.0.1', 52269)
2024-06-10 23:17:22,858 Connected by ('127.0.0.1', 52275)
2024-06-10 23:17:27,875 Connected by ('127.0.0.1', 52281)
2024-06-10 23:17:32,889 Connected by ('127.0.0.1', 52288)
2024-06-10 23:17:37,897 Connected by ('127.0.0.1', 52294)
2024-06-10 23:17:42,905 Connected by ('127.0.0.1', 52300)
2024-06-10 23:17:47,922 Connected by ('127.0.0.1', 52306)
2024-06-10 23:17:52,935 Connected by ('127.0.0.1', 52312)
2024-06-10 23:17:57,941 Connected by ('127.0.0.1', 52318)
2024-06-10 23:18:02,956 Connected by ('127.0.0.1', 52324)
2024-06-10 23:18:07,962 Connected by ('127.0.0.1', 52330)
2024-06-10 23:18:12,979 Connected by ('127.0.0.1', 52340)
2024-06-10 23:18:17,994 Connected by ('127.0.0.1', 52346)
2024-06-10 23:18:22,999 Connected by ('127.0.0.1', 52352)
2024-06-10 23:18:28,009 Connected by ('127.0.0.1', 52358)
2024-06-10 23:18:33,026 Connected by ('127.0.0.1', 52365)
2024-06-10 23:18:38,037 Connected by ('127.0.0.1', 52372)
2024-06-10 23:18:43,047 Connected by ('127.0.0.1', 52378)
2024-06-10 23:18:48,049 Connected by ('127.0.0.1', 52384)
2024-06-10 23:18:53,058 Connected by ('127.0.0.1', 52390)
2024-06-10 23:18:58,061 Connected by ('127.0.0.1', 52396)
2024-06-10 23:19:03,069 Connected by ('127.0.0.1', 52403)
2024-06-10 23:19:08,076 Connected by ('127.0.0.1', 52409)
2024-06-10 23:19:13,088 Connected by ('127.0.0.1', 52415)
2024-06-10 23:19:18,092 Connected by ('127.0.0.1', 52421)
2024-06-10 23:19:23,098 Connected by ('127.0.0.1', 52427)
2024-06-10 23:19:28,104 Connected by ('127.0.0.1', 52433)
2024-06-10 23:19:33,121 Connected by ('127.0.0.1', 52439)
2024-06-10 23:19:38,127 Connected by ('127.0.0.1', 52445)
2024-06-10 23:19:43,130 Connected by ('127.0.0.1', 52451)
2024-06-10 23:19:48,145 Connected by ('127.0.0.1', 52458)
2024-06-10 23:19:53,150 Connected by ('127.0.0.1', 52464)
2024-06-10 23:19:58,156 Connected by ('127.0.0.1', 52470)
2024-06-10 23:20:03,163 Connected by ('127.0.0.1', 52476)
2024-06-10 23:20:08,171 Connected by ('127.0.0.1', 52482)
2024-06-10 23:20:13,187 Connected by ('127.0.0.1', 52488)
2024-06-10 23:20:18,201 Connected by ('127.0.0.1', 52494)
2024-06-10 23:20:23,217 Connected by ('127.0.0.1', 52500)
2024-06-10 23:20:28,225 Connected by ('127.0.0.1', 52506)
2024-06-10 23:20:33,233 Connected by ('127.0.0.1', 52512)
2024-06-10 23:20:38,248 Connected by ('127.0.0.1', 52519)
2024-06-10 23:20:43,258 Connected by ('127.0.0.1', 52525)
2024-06-10 23:20:48,266 Connected by ('127.0.0.1', 52531)
2024-06-10 23:20:53,280 Connected by ('127.0.0.1', 52537)
2024-06-10 23:20:58,292 Connected by ('127.0.0.1', 52543)
2024-06-10 23:21:03,309 Connected by ('127.0.0.1', 52549)
